strategy,trend_mode,session_filter,r_target,risk_pct,trades,win_rate_pct,profit_factor,expectancy_R,exp_R_ci_low,exp_R_ci_high,prob_no_edge,net_return_pct,max_drawdown_pct,worst_losing_streak,timeouts,skipped_overlapping,final_equity
001B,ema50_200,True,2.5,0.5,171,29.24,0.862,-0.0905,-0.3025,0.1321,0.7912,-7.86,-10.99,13,15,241,9213.89
001B,ema50_200,True,3.0,0.25,165,27.88,0.894,-0.0721,-0.3032,0.1738,0.7229,-3.05,-5.44,13,18,247,9694.71
001B,ema50_200,True,3.0,0.5,165,27.88,0.889,-0.0721,-0.3032,0.1738,0.7229,-6.25,-10.68,13,18,247,9375.01
001B,ema50_200,False,1.0,0.25,226,46.9,0.874,-0.0657,-0.1985,0.0673,0.8427,-3.71,-5.05,10,0,254,9629.14
001B,ema50_200,False,1.0,0.5,226,46.9,0.871,-0.0657,-0.1985,0.0673,0.8427,-7.41,-9.91,10,0,254,9258.84
001B,ema50_200,False,1.5,0.25,209,38.76,0.917,-0.0495,-0.2118,0.1167,0.7176,-2.64,-5.38,10,4,271,9735.6
001B,ema50_200,False,1.5,0.5,209,38.76,0.914,-0.0495,-0.2118,0.1167,0.7176,-5.4,-10.54,10,4,271,9460.15
001B,ema50_200,False,2.0,0.25,197,34.52,0.971,-0.0161,-0.2037,0.179,0.569,-0.91,-5.1,14,11,283,9909.46
001B,ema50_200,False,2.0,0.5,197,34.52,0.967,-0.0161,-0.2037,0.179,0.569,-2.03,-10.02,14,11,283,9797.08
001B,ema50_200,False,2.5,0.25,185,29.73,0.895,-0.07,-0.2777,0.1495,0.7386,-3.31,-6.82,14,16,295,9669.29
001B,ema50_200,False,2.5,0.5,185,29.73,0.891,-0.07,-0.2777,0.1495,0.7386,-6.74,-13.25,14,16,295,9326.25
001B,ema50_200,False,3.0,0.25,180,28.33,0.926,-0.0494,-0.2743,0.1891,0.6626,-2.34,-6.32,14,20,300,9766.4
001B,ema50_200,False,3.0,0.5,180,28.33,0.92,-0.0494,-0.2743,0.1891,0.6626,-4.88,-12.32,14,20,300,9511.5
