signal_ts,entry_ts,direction,structural_stop,atr_buffer,stop,stop_distance,ref_close,atr15,spread,zone_id,zone_lo,zone_hi,zone_touches,setup,session,regime,bars_to_retest,retest_completed,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-06-11 12:45:00+00:00,2015-06-11 13:00:00+00:00,-1,1185.483,0.994,1186.478,3.56,1182.918,1.989,0.3011,53,1177.708,1182.18,5,retest,overlap,bear,2,True,0.2271,0.4531,0.3198,0.3198,3.384
2015-06-11 16:00:00+00:00,2015-06-11 16:15:00+00:00,-1,1185.983,0.911,1186.895,6.609,1180.286,1.823,0.2423,54,1180.656,1185.983,3,retest,newyork,bear,10,True,0.3825,0.2912,0.3263,0.3263,1.238
2015-06-12 14:00:00+00:00,2015-06-12 14:15:00+00:00,-1,1185.983,0.755,1186.738,5.088,1181.65,1.51,0.2773,54,1180.656,1185.983,3,retest,overlap,bear,7,True,0.7592,0.0,0.2408,0.2408,1.474
2015-06-15 07:15:00+00:00,2015-06-15 07:30:00+00:00,-1,1185.983,0.542,1186.525,3.421,1183.104,1.084,0.2873,54,1180.656,1185.983,3,retest,london,bear,6,True,0.7816,0.0219,0.1965,0.1965,2.082
2015-06-15 12:00:00+00:00,2015-06-15 12:15:00+00:00,-1,1182.415,0.868,1183.283,3.718,1179.565,1.737,0.2863,53,1177.708,1182.18,5,retest,overlap,bear,9,True,0.6852,0.0516,0.2632,0.2632,2.432
2015-06-15 13:45:00+00:00,2015-06-15 14:00:00+00:00,-1,1185.983,0.966,1186.949,5.224,1181.725,1.931,0.2933,54,1180.656,1185.983,3,retest,overlap,bear,7,True,0.457,0.4524,0.0906,0.0906,1.291
2015-06-15 14:30:00+00:00,2015-06-15 14:45:00+00:00,-1,1185.413,0.966,1186.379,4.264,1182.115,1.932,0.2815,68,1182.042,1185.413,2,retest,overlap,bear,3,True,0.5557,0.3142,0.1302,0.1302,1.541
2015-06-15 15:45:00+00:00,2015-06-15 16:00:00+00:00,-1,1190.591,1.151,1191.742,2.662,1189.08,2.301,0.2687,68,1182.042,1185.413,2,retest,newyork,bear,3,True,0.5791,0.0997,0.3212,0.3212,1.966
2015-07-03 15:45:00+00:00,2015-07-03 16:00:00+00:00,-1,1172.727,0.621,1173.348,4.825,1168.524,1.243,0.2878,67,1167.626,1172.727,4,retest,newyork,bear,6,True,0.2592,0.5322,0.2086,0.2086,0.544
2015-07-06 17:30:00+00:00,2015-07-06 17:45:00+00:00,-1,1174.57,0.724,1175.294,2.574,1172.72,1.449,0.2245,67,1167.626,1172.727,4,retest,newyork,bear,6,True,0.8614,0.0004,0.1382,0.1382,1.403
2015-07-13 09:15:00+00:00,2015-07-13 09:30:00+00:00,-1,1159.631,0.78,1160.411,4.771,1155.64,1.56,0.3097,74,1155.917,1159.631,3,retest,london,bear,8,True,0.484,0.4569,0.059,0.059,1.456
2015-07-13 12:30:00+00:00,2015-07-13 12:45:00+00:00,-1,1159.631,0.692,1160.323,4.542,1155.78,1.384,0.3033,74,1155.917,1159.631,3,retest,overlap,bear,2,True,0.3919,0.452,0.1561,0.1561,1.249
2015-07-14 15:15:00+00:00,2015-07-14 15:30:00+00:00,-1,1159.631,0.678,1160.309,4.747,1155.562,1.356,0.2882,74,1155.917,1159.631,3,retest,overlap,bear,1,True,0.0034,0.7136,0.283,0.283,1.189
2015-07-15 15:15:00+00:00,2015-07-15 15:30:00+00:00,-1,1149.593,0.925,1150.518,5.227,1145.291,1.851,0.2851,78,1145.814,1149.593,2,retest,overlap,bear,2,True,0.9534,0.0115,0.0351,0.0351,2.134
2015-07-15 18:15:00+00:00,2015-07-15 18:30:00+00:00,-1,1149.614,0.728,1150.342,1.671,1148.671,1.455,0.3177,78,1145.814,1149.593,2,retest,newyork,bear,10,True,0.6012,0.3051,0.0937,0.0937,0.331
2015-11-20 10:15:00+00:00,2015-11-20 10:30:00+00:00,-1,1088.193,0.667,1088.86,3.44,1085.42,1.333,0.2958,140,1083.251,1086.545,4,retest,london,bear,11,True,0.5538,0.1709,0.2753,0.2753,1.144
2015-11-20 14:15:00+00:00,2015-11-20 14:30:00+00:00,-1,1087.014,0.804,1087.818,5.553,1082.265,1.608,0.2337,140,1083.251,1086.545,4,retest,overlap,bear,4,True,0.3126,0.6077,0.0797,0.0797,1.261
2015-12-03 20:15:00+00:00,2015-12-03 20:30:00+00:00,-1,1069.208,0.962,1070.169,5.384,1064.785,1.923,0.3805,147,1063.487,1069.208,4,retest,newyork,bear,6,True,0.5023,0.3719,0.1259,0.1259,0.874
