signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held,structural_stop,atr_buffer,stop_distance,atr15,spread,zone_lo,zone_hi,zone_touches,regime,bars_to_retest,body_pct,upper_wick_pct,lower_wick_pct,close_pos,range
2015-09-25 12:30:00+00:00,2015-09-25 12:45:00+00:00,2015-09-28 06:57:00+00:00,BUY,overlap,rejection,103,1144.251,1138.967,1154.819,1138.917,stop,5.284,4.7119,-25.13,-1.009,9933.95,,1139.665,0.697,5.049,1.395,0.3231,1139.665,1143.802,3,bear,,0.0324,0.2514,0.7162,0.7486,4.155
2015-09-28 11:45:00+00:00,2015-09-28 12:00:00+00:00,2015-09-29 09:31:00+00:00,BUY,london,rejection,95,1131.661,1124.878,1145.227,1124.828,stop,6.783,3.6613,-25.02,-1.007,9908.93,,1125.786,0.908,6.622,1.816,0.2899,1125.786,1130.455,3,bear,,0.4777,0.2044,0.3179,0.7956,2.274
2015-10-05 15:15:00+00:00,2015-10-05 15:30:00+00:00,2015-10-06 14:07:00+00:00,BUY,overlap,rejection,107,1136.541,1130.122,1149.379,1149.379,target,6.419,3.8592,49.54,2.0,9958.47,,1131.211,1.09,6.299,2.18,0.2687,1131.211,1136.094,2,bear,,0.6116,0.1472,0.2412,0.8528,2.207
2015-11-19 16:00:00+00:00,2015-11-19 16:15:00+00:00,2015-11-19 16:41:00+00:00,SELL,overlap,rejection,140,1082.132,1087.537,1071.322,1087.587,stop,5.405,4.6061,-25.13,-1.009,9933.35,,1086.545,0.992,5.192,1.983,0.3013,1083.251,1086.545,4,bear,,0.608,0.2364,0.1556,0.1556,1.25
2015-11-19 17:15:00+00:00,2015-11-19 17:30:00+00:00,2015-11-23 02:31:00+00:00,SELL,newyork,rejection,140,1082.148,1088.618,1069.208,1069.208,target,6.47,3.8382,49.67,2.0,9983.01,,1087.52,1.098,6.262,2.197,0.2862,1083.251,1086.545,4,bear,,0.483,0.2937,0.2234,0.2234,2.261
2015-12-03 18:45:00+00:00,2015-12-03 19:00:00+00:00,2015-12-04 13:20:00+00:00,SELL,newyork,rejection,147,1062.099,1070.283,1045.731,1070.333,stop,8.184,3.0496,-25.11,-1.006,9957.9,,1069.208,1.076,7.983,2.151,0.3548,1063.487,1069.208,4,bear,,0.7019,0.1967,0.1014,0.1014,2.293
2015-12-04 15:45:00+00:00,2015-12-04 16:00:00+00:00,2015-12-09 19:15:00+00:00,SELL,overlap,rejection,143,1083.529,1092.955,1064.677,1074.37,timeout,9.426,2.6411,24.19,0.972,9982.09,288.0,1091.185,1.77,9.235,3.54,0.3165,1086.076,1091.185,3,bear,,0.7043,0.0382,0.2575,0.2575,5.239
2016-02-16 19:00:00+00:00,2016-02-16 19:15:00+00:00,2016-02-17 00:40:00+00:00,BUY,newyork,rejection,181,1204.399,1195.736,1221.725,1195.686,stop,8.663,2.8807,-25.1,-1.006,9956.99,,1197.1,1.364,8.438,2.727,0.3456,1197.1,1202.906,2,bull,,0.2548,0.1663,0.5788,0.8337,1.779
2016-02-17 10:00:00+00:00,2016-02-17 10:15:00+00:00,2016-02-18 16:06:00+00:00,BUY,london,rejection,181,1203.561,1195.973,1218.737,1218.737,target,7.588,3.2805,49.78,2.0,10006.78,,1197.1,1.127,7.393,2.254,0.2962,1197.1,1202.906,2,bull,,0.3537,0.1086,0.5376,0.8914,2.518
2016-03-09 17:15:00+00:00,2016-03-09 17:30:00+00:00,2016-03-10 12:47:00+00:00,BUY,newyork,rejection,190,1256.161,1244.502,1279.479,1244.452,stop,11.659,2.1457,-25.12,-1.004,9981.65,,1246.072,1.57,11.464,3.141,0.3333,1246.072,1255.905,2,bull,,0.8389,0.0032,0.1579,0.9968,1.58
2016-04-19 14:45:00+00:00,2016-04-19 15:00:00+00:00,2016-04-20 19:12:00+00:00,BUY,overlap,rejection,193,1253.96,1245.283,1271.314,1245.233,stop,8.677,2.8759,-25.1,-1.006,9956.56,,1246.402,1.119,8.467,2.239,0.2741,1246.402,1252.828,4,bull,,0.2145,0.1131,0.6724,0.8869,2.17
2016-04-20 19:45:00+00:00,2016-04-20 20:00:00+00:00,2016-04-21 12:03:00+00:00,BUY,newyork,rejection,196,1245.282,1237.163,1261.52,1261.52,target,8.119,3.0658,49.78,2.0,10006.34,,1238.279,1.115,7.857,2.231,0.3468,1238.279,1244.681,3,bull,,0.8124,0.1853,0.0024,0.8147,2.327
2016-04-21 14:00:00+00:00,2016-04-21 14:15:00+00:00,2016-04-22 01:03:00+00:00,BUY,overlap,rejection,193,1253.941,1244.478,1272.867,1244.428,stop,9.463,2.6435,-25.15,-1.005,9981.19,,1246.402,1.924,9.242,3.848,0.3361,1246.402,1252.828,4,bull,,0.7791,0.1275,0.0934,0.8725,5.731
2016-04-22 14:15:00+00:00,2016-04-22 14:30:00+00:00,2016-04-22 15:45:00+00:00,BUY,overlap,rejection,196,1245.13,1236.778,1261.834,1236.728,stop,8.352,2.9877,-25.1,-1.006,9956.09,5.0,1238.018,1.24,8.213,2.48,0.3009,1238.018,1244.941,4,bull,,0.2223,0.1056,0.6721,0.8944,2.742
2016-06-13 15:30:00+00:00,2016-06-13 15:45:00+00:00,2016-06-14 08:02:00+00:00,BUY,newyork,rejection,211,1285.658,1276.317,1304.34,1276.267,stop,9.341,2.6646,-25.02,-1.005,9931.06,,1277.56,1.243,9.142,2.486,0.2901,1277.56,1283.986,3,bull,,0.4866,0.0281,0.4852,0.9719,3.27
2016-06-15 19:00:00+00:00,2016-06-15 19:15:00+00:00,2016-06-16 19:27:00+00:00,BUY,newyork,rejection,233,1293.432,1282.015,1316.266,1281.965,stop,11.417,2.1746,-24.94,-1.004,9906.13,,1283.431,1.416,11.146,2.832,0.3673,1285.873,1291.344,2,bull,,0.5504,0.0591,0.3905,0.9409,3.036
