signal_ts,entry_ts,exit_ts,direction,session,setup,zone_id,entry,stop,target,exit,reason,risk_per_oz,size_oz,pnl,r,equity,bars_held
2023-06-20 15:15:00+00:00,2023-06-20 15:30:00+00:00,2023-06-22 15:26:00+00:00,SELL,overlap,rejection,291,1934.195,1943.83,1914.926,1914.926,target,9.635,2.6152,50.39,2.0,10129.24,
2023-07-03 14:00:00+00:00,2023-07-03 14:15:00+00:00,2023-07-06 12:30:00+00:00,SELL,overlap,rejection,294,1925.905,1935.329,1907.057,1907.057,target,9.424,2.687,50.65,2.0,10179.88,259.0
2023-07-07 15:00:00+00:00,2023-07-07 15:15:00+00:00,2023-07-12 02:30:00+00:00,SELL,overlap,rejection,300,1929.285,1941.002,1905.851,1941.052,stop,11.717,2.1721,-25.56,-1.004,10154.32,225.0
2023-07-18 13:45:00+00:00,2023-07-18 14:00:00+00:00,2023-07-21 13:23:00+00:00,BUY,overlap,rejection,290,1971.622,1958.963,1996.939,1958.913,stop,12.659,2.0054,-25.49,-1.004,10128.84,
2023-07-21 15:30:00+00:00,2023-07-21 15:45:00+00:00,2023-07-24 19:11:00+00:00,BUY,newyork,rejection,292,1962.565,1953.809,1980.078,1953.759,stop,8.756,2.8918,-25.47,-1.006,10103.37,
2023-07-25 14:00:00+00:00,2023-07-25 14:15:00+00:00,2023-07-27 13:40:00+00:00,BUY,overlap,rejection,288,1960.045,1947.947,1984.24,1947.897,stop,12.098,2.0879,-25.36,-1.004,10078.01,
2023-08-03 13:00:00+00:00,2023-08-03 13:15:00+00:00,2023-08-04 12:42:00+00:00,SELL,overlap,rejection,300,1930.755,1941.506,1909.253,1941.556,stop,10.751,2.3435,-25.31,-1.005,10052.7,
2023-08-04 12:45:00+00:00,2023-08-04 13:00:00+00:00,2023-08-09 14:54:00+00:00,SELL,overlap,rejection,309,1938.865,1949.047,1918.502,1918.502,target,10.182,2.4683,50.26,2.0,10102.96,
2023-08-25 16:30:00+00:00,2023-08-25 16:45:00+00:00,2023-08-27 22:00:00+00:00,SELL,newyork,rejection,320,1909.495,1916.883,1894.718,1916.933,stop,7.388,3.4186,-25.43,-1.007,10077.53,17.0
2023-09-14 13:45:00+00:00,2023-09-14 14:00:00+00:00,2023-09-14 16:20:00+00:00,SELL,overlap,rejection,337,1902.975,1911.703,1885.519,1911.753,stop,8.728,2.8866,-25.34,-1.006,10052.19,
2023-09-14 16:45:00+00:00,2023-09-14 17:00:00+00:00,2023-09-15 06:17:00+00:00,SELL,newyork,rejection,320,1910.055,1917.853,1894.459,1917.903,stop,7.798,3.2227,-25.29,-1.006,10026.9,
2023-10-30 14:00:00+00:00,2023-10-30 14:15:00+00:00,2023-10-31 16:08:00+00:00,BUY,overlap,rejection,356,2000.805,1989.816,2022.783,1989.766,stop,10.989,2.2811,-25.18,-1.005,10001.72,
2023-11-27 18:15:00+00:00,2023-11-27 18:30:00+00:00,2023-11-28 15:42:00+00:00,BUY,newyork,rejection,362,2012.355,2003.389,2030.287,2030.287,target,8.966,2.7888,50.01,2.0,10051.73,
2023-12-08 15:15:00+00:00,2023-12-08 15:30:00+00:00,2023-12-08 17:02:00+00:00,BUY,overlap,rejection,362,2013.935,2000.549,2040.707,2000.499,stop,13.386,1.8773,-25.22,-1.004,10026.51,
2023-12-14 16:30:00+00:00,2023-12-14 16:45:00+00:00,2023-12-15 13:42:00+00:00,BUY,newyork,rejection,378,2040.615,2028.495,2064.855,2028.445,stop,12.12,2.0682,-25.17,-1.004,10001.34,
2023-12-15 15:00:00+00:00,2023-12-15 15:15:00+00:00,2023-12-15 18:20:00+00:00,BUY,overlap,rejection,379,2037.165,2023.102,2065.291,2023.052,stop,14.063,1.7779,-25.09,-1.004,9976.24,
2024-01-19 16:15:00+00:00,2024-01-19 16:30:00+00:00,2024-01-23 06:58:00+00:00,SELL,overlap,rejection,379,2025.005,2035.165,2004.685,2035.215,stop,10.16,2.4547,-25.06,-1.005,9951.18,
2024-03-19 11:30:00+00:00,2024-03-19 11:45:00+00:00,2024-03-20 18:06:00+00:00,BUY,london,rejection,413,2155.945,2147.472,2172.892,2172.892,target,8.473,2.936,49.76,2.0,10000.94,
2024-03-20 18:15:00+00:00,2024-03-20 18:30:00+00:00,2024-03-20 22:16:00+00:00,BUY,newyork,rejection,410,2169.275,2154.646,2198.533,2198.533,target,14.629,1.7091,50.0,2.0,10050.94,
2024-06-10 16:30:00+00:00,2024-06-10 16:45:00+00:00,2024-06-12 12:30:00+00:00,SELL,newyork,rejection,452,2310.768,2320.269,2291.767,2320.319,stop,9.501,2.6448,-25.26,-1.005,10025.68,167.0
2024-07-08 16:30:00+00:00,2024-07-08 16:45:00+00:00,2024-07-10 13:53:00+00:00,BUY,newyork,rejection,461,2357.685,2344.599,2383.857,2383.857,target,13.086,1.9154,50.13,2.0,10075.81,
2024-08-14 16:30:00+00:00,2024-08-14 16:45:00+00:00,2024-08-15 12:16:00+00:00,BUY,newyork,rejection,469,2443.155,2431.556,2466.354,2466.354,target,11.599,2.1716,50.38,2.0,10126.19,
2024-08-15 13:15:00+00:00,2024-08-15 13:30:00+00:00,2024-08-16 13:41:00+00:00,BUY,overlap,rejection,469,2451.065,2429.533,2494.13,2494.13,target,21.532,1.1757,50.63,2.0,10176.82,
2024-08-16 14:45:00+00:00,2024-08-16 15:00:00+00:00,2024-08-20 08:05:00+00:00,BUY,overlap,rejection,470,2487.462,2470.921,2520.545,2520.545,target,16.541,1.5381,50.88,2.0,10227.7,
2024-08-22 12:30:00+00:00,2024-08-22 12:45:00+00:00,2024-08-22 13:32:00+00:00,BUY,overlap,rejection,486,2503.175,2489.026,2531.472,2488.976,stop,14.149,1.8072,-25.66,-1.004,10202.05,
2024-08-28 12:45:00+00:00,2024-08-28 13:00:00+00:00,2024-08-29 09:53:00+00:00,BUY,overlap,rejection,486,2500.915,2489.326,2524.093,2524.093,target,11.589,2.2008,51.01,2.0,10253.06,
2024-10-01 15:00:00+00:00,2024-10-01 15:15:00+00:00,2024-10-02 12:28:00+00:00,BUY,overlap,rejection,501,2660.875,2644.165,2694.296,2644.115,stop,16.71,1.5339,-25.71,-1.003,10227.35,
2024-10-03 09:30:00+00:00,2024-10-03 09:45:00+00:00,2024-10-03 14:00:00+00:00,BUY,london,rejection,503,2647.325,2636.718,2668.539,2636.668,stop,10.607,2.4105,-25.69,-1.005,10201.66,17.0
2024-10-03 14:00:00+00:00,2024-10-03 14:15:00+00:00,2024-10-04 12:55:00+00:00,BUY,overlap,rejection,503,2651.645,2635.077,2684.781,2635.027,stop,16.568,1.5394,-25.58,-1.003,10176.08,
2024-12-27 12:15:00+00:00,2024-12-27 12:30:00+00:00,2024-12-30 08:52:00+00:00,SELL,london,rejection,530,2628.298,2637.024,2610.845,2610.845,target,8.726,2.9153,50.88,2.0,10226.96,
