signal_ts,entry_ts,direction,stop,ref_close,atr15,zone_id,zone_lo,zone_hi,setup,session
2022-09-06 14:45:00+00:00,2022-09-06 15:00:00+00:00,-1,1713.4058505074279,1703.6945,3.076701014855814,175,1706.0877457231795,1710.7702542768202,retest,overlap
2022-09-07 10:00:00+00:00,2022-09-07 10:15:00+00:00,-1,1711.8093575144164,1705.0970000000002,2.0782064751923133,175,1706.0877457231795,1710.7702542768202,retest,london
2022-09-07 15:15:00+00:00,2022-09-07 15:30:00+00:00,-1,1714.9515164352276,1710.3400000000001,2.843032870455159,175,1706.0877457231795,1710.7702542768202,retest,overlap
2022-09-21 19:15:00+00:00,2022-09-21 19:30:00+00:00,-1,1696.2913158877136,1679.402,5.6422557738117645,173,1686.7768119991922,1693.4701880008076,retest,newyork
2022-09-22 12:45:00+00:00,2022-09-22 13:00:00+00:00,-1,1687.033906846322,1681.9185000000002,4.174813692644011,182,1677.399872296282,1682.500127703718,retest,overlap
2022-09-22 14:30:00+00:00,2022-09-22 14:45:00+00:00,-1,1687.2062821537277,1672.165,4.519564307455373,182,1677.399872296282,1682.500127703718,retest,overlap
2022-09-23 10:15:00+00:00,2022-09-23 10:30:00+00:00,-1,1666.406482594903,1655.835,2.6999651898065276,183,1657.827923992322,1661.906076007678,retest,london
2022-09-23 13:15:00+00:00,2022-09-23 13:30:00+00:00,-1,1660.0946946975537,1652.635,4.267389395107281,181,1651.384967595747,1656.7255324042528,retest,overlap
2022-09-28 14:45:00+00:00,2022-09-28 15:00:00+00:00,-1,1658.9209053124434,1650.6235000000001,4.390745816381185,181,1651.384967595747,1656.7255324042528,retest,overlap
2022-09-29 12:00:00+00:00,2022-09-29 12:15:00+00:00,-1,1658.023131634343,1650.315,2.5951984601800215,181,1651.384967595747,1656.7255324042528,retest,overlap
2022-09-29 13:30:00+00:00,2022-09-29 13:45:00+00:00,-1,1660.1010243660355,1650.7175,3.746048732071003,181,1651.384967595747,1656.7255324042528,retest,overlap
2022-11-15 09:45:00+00:00,2022-11-15 10:00:00+00:00,1,1769.1059630856316,1776.3045,2.635041595953138,204,1770.4234838836082,1777.6215161163918,retest,london
2022-11-15 14:45:00+00:00,2022-11-15 15:00:00+00:00,1,1766.4066195048836,1772.09,3.6457609902328336,204,1770.4234838836082,1777.6215161163918,retest,overlap
2022-11-15 19:30:00+00:00,2022-11-15 19:45:00+00:00,1,1766.188510634588,1775.8494999999998,4.322978730823836,204,1770.4234838836082,1777.6215161163918,retest,newyork
2022-11-15 20:15:00+00:00,2022-11-15 20:30:00+00:00,1,1768.0477790139178,1778.505,4.003441972164705,204,1770.4234838836082,1777.6215161163918,retest,newyork
2022-11-16 15:30:00+00:00,2022-11-16 15:45:00+00:00,1,1768.9293590184502,1777.7150000000001,2.9882497303160385,204,1770.4234838836082,1777.6215161163918,retest,overlap
2022-11-16 17:15:00+00:00,2022-11-16 17:30:00+00:00,1,1769.0884000370263,1775.995,2.670167693163677,204,1770.4234838836082,1777.6215161163918,retest,newyork
2022-11-18 16:00:00+00:00,2022-11-18 16:15:00+00:00,1,1748.6568106731595,1757.6750000000002,2.748378653680727,205,1751.0417987423045,1756.7482012576954,retest,overlap
2022-11-25 08:00:00+00:00,2022-11-25 08:15:00+00:00,1,1749.3295567848081,1752.2585,1.5908864303837211,205,1751.0417987423045,1756.7482012576954,retest,london
2022-11-28 13:15:00+00:00,2022-11-28 13:30:00+00:00,1,1749.2141686548673,1753.625,2.2516626902653436,205,1751.0417987423045,1756.7482012576954,retest,overlap
2022-11-29 09:15:00+00:00,2022-11-29 09:30:00+00:00,1,1750.0710960929005,1755.9915,1.9414052988080865,205,1751.0417987423045,1756.7482012576954,retest,london
2022-11-29 12:45:00+00:00,2022-11-29 13:00:00+00:00,1,1750.0720848325875,1755.245,1.9394278194338397,205,1751.0417987423045,1756.7482012576954,retest,london
2022-11-29 16:30:00+00:00,2022-11-29 16:45:00+00:00,1,1748.3746368343316,1751.815,2.810726331336779,205,1751.0417987423045,1756.7482012576954,retest,newyork
2022-11-30 14:00:00+00:00,2022-11-30 14:15:00+00:00,1,1749.683256681713,1757.9,2.7170841211832144,205,1751.0417987423045,1756.7482012576954,retest,overlap
2022-11-30 15:30:00+00:00,2022-11-30 15:45:00+00:00,1,1747.5151145875798,1751.745,3.379770824840241,205,1751.0417987423045,1756.7482012576954,retest,overlap
2022-12-01 08:30:00+00:00,2022-12-01 08:45:00+00:00,1,1769.1955972247238,1778.67,2.4557733177689336,204,1770.4234838836082,1777.6215161163918,retest,london
2022-12-01 09:30:00+00:00,2022-12-01 09:45:00+00:00,1,1769.273054508754,1777.65,2.3008587497084356,204,1770.4234838836082,1777.6215161163918,retest,london
2022-12-02 13:45:00+00:00,2022-12-02 14:00:00+00:00,1,1776.9636375578973,1785.73,3.242724884205424,206,1782.6292971548255,1789.0507028451743,retest,overlap
2022-12-02 16:15:00+00:00,2022-12-02 16:30:00+00:00,1,1779.120686880017,1790.6405,3.7276262399660007,206,1782.6292971548255,1789.0507028451743,retest,overlap
2022-12-05 15:30:00+00:00,2022-12-05 15:45:00+00:00,1,1768.8055828588178,1777.68,3.2358020495806086,204,1770.4234838836082,1777.6215161163918,retest,overlap
2022-12-05 18:00:00+00:00,2022-12-05 18:15:00+00:00,1,1766.8101670121944,1770.0349999999999,2.8196659756112123,204,1770.4234838836082,1777.6215161163918,retest,newyork
2022-12-06 15:30:00+00:00,2022-12-06 15:45:00+00:00,1,1769.184719769351,1772.6750000000002,2.4775282285144775,204,1770.4234838836082,1777.6215161163918,retest,overlap
2022-12-07 21:30:00+00:00,2022-12-07 21:45:00+00:00,1,1781.6339990863248,1786.205,1.990596137001165,206,1782.6292971548255,1789.0507028451743,retest,newyork
2022-12-08 14:15:00+00:00,2022-12-08 14:30:00+00:00,1,1781.4802034893282,1790.17,2.2981873309946255,206,1782.6292971548255,1789.0507028451743,retest,overlap
2022-12-08 16:30:00+00:00,2022-12-08 16:45:00+00:00,1,1781.175156258319,1789.835,2.908281793012953,206,1782.6292971548255,1789.0507028451743,retest,newyork
2022-12-08 18:00:00+00:00,2022-12-08 18:15:00+00:00,1,1781.4382266101034,1788.17,2.3821410894444455,206,1782.6292971548255,1789.0507028451743,retest,newyork
2022-12-08 19:30:00+00:00,2022-12-08 19:45:00+00:00,1,1781.5145544382558,1789.645,2.2294854331395926,206,1782.6292971548255,1789.0507028451743,retest,newyork
2022-12-08 20:30:00+00:00,2022-12-08 20:45:00+00:00,1,1781.6752952616573,1788.32,1.9080037863364456,206,1782.6292971548255,1789.0507028451743,retest,newyork
2022-12-12 16:15:00+00:00,2022-12-12 16:30:00+00:00,1,1780.5714606676977,1782.995,2.4570786646045217,206,1782.6292971548255,1789.0507028451743,retest,overlap
2023-01-05 16:00:00+00:00,2023-01-05 16:15:00+00:00,1,1816.40840416127,1830.975,3.7299927434502074,220,1818.273400532995,1826.718099467005,retest,overlap
2023-01-11 10:15:00+00:00,2023-01-11 10:30:00+00:00,1,1877.7980803729831,1884.295,1.9446676291861151,230,1878.770414187576,1883.658585812424,retest,london
2023-01-11 13:00:00+00:00,2023-01-11 13:15:00+00:00,1,1874.7354217232905,1879.1985,2.1361565534190743,230,1878.770414187576,1883.658585812424,retest,overlap
2023-01-12 10:30:00+00:00,2023-01-12 10:45:00+00:00,1,1878.017640359085,1883.6065,1.505547656982524,230,1878.770414187576,1883.658585812424,retest,london
2023-01-20 09:15:00+00:00,2023-01-20 09:30:00+00:00,1,1922.380231537478,1931.645,2.6234288317255112,235,1923.6919459533408,1931.339554046659,retest,london
2023-01-20 10:45:00+00:00,2023-01-20 11:00:00+00:00,1,1922.4618594984895,1930.07,2.460172909702778,235,1923.6919459533408,1931.339554046659,retest,london
